🚀 连接设备: 192.168.31.194...
📋 开始全量扫描: 0x0000 - 0x5000
--------------------------------------------------------------------------------
地址       | Raw    | Signed  | /10      | /100    
0x18E9   | 19781  | 19781   | 1978.1   | 197.81  
0x18EA   | 16685  | 16685   | 1668.5   | 166.85  
0x18EB   | 21301  | 21301   | 2130.1   | 213.01  
0x18EC   | 16945  | 16945   | 1694.5   | 169.45  
0x18ED   | 12360  | 12360   | 1236.0   | 123.6   
0x18EE   | 21248  | 21248   | 2124.8   | 212.48  
0x18EF   | 4096   | 4096    | 409.6    | 40.96   
0x18F0   | 0      | 0       | 0.0      | 0.0     
0x18F1   | 21587  | 21587   | 2158.7   | 215.87  
0x18F2   | 0      | 0       | 0.0      | 0.0     
0x18F3   | 11808  | 11808   | 1180.8   | 118.08  
0x18F4   | 0      | 0       | 0.0      | 0.0     
0x18F5   | 12337  | 12337   | 1233.7   | 123.37  
0x18F6   | 0      | 0       | 0.0      | 0.0     
0x18F7   | 1      | 1       | 0.1      | 0.01    
0x18F8   | 0      | 0       | 0.0      | 0.0     
0x18F9   | 0      | 0       | 0.0      | 0.0     
0x18FA   | 0      | 0       | 0.0      | 0.0     
0x18FB   | 0      | 0       | 0.0      | 0.0     
0x18FC   | 0      | 0       | 0.0      | 0.0     
0x18FD   | 0      | 0       | 0.0      | 0.0     
0x18FE   | 0      | 0       | 0.0      | 0.0     
0x18FF   | 0      | 0       | 0.0      | 0.0     
0x1989   | 375    | 375     | 37.5     | 3.75    
0x198D   | 375    | 375     | 37.5     | 3.75    
0x1992   | 800    | 800     | 80.0     | 8.0     
0x1BBE   | 374    | 374     | 37.4     | 3.74    
0x1CF7   | 376    | 376     | 37.6     | 3.76    
0x1CFA   | 376    | 376     | 37.6     | 3.76    
0x1F13   | 375    | 375     | 37.5     | 3.75    
0x1F18   | 800    | 800     | 80.0     | 8.0     
0x2121   | 374    | 374     | 37.4     | 3.74    
0x227D   | 374    | 374     | 37.4     | 3.74    
0x239B   | 375    | 375     | 37.5     | 3.75    
0x249F   | 375    | 375     | 37.5     | 3.75    
0x24A4   | 800    | 800     | 80.0     | 8.0     
0x2775   | 21328  | 21328   | 2132.8   | 213.28  
0x2776   | 17713  | 17713   | 1771.3   | 177.13  
0x2777   | 31772  | 31772   | 3177.2   | 317.72  
0x2778   | 16906  | 16906   | 1690.6   | 169.06  
0x2779   | 13365  | 13365   | 1336.5   | 133.65  
0x277A   | 13619  | 13619   | 1361.9   | 136.19  
0x277B   | 16979  | 16979   | 1697.9   | 169.79  
0x277C   | 52830  | -12706  | -1270.6  | -127.06 
0x277D   | 11350  | 11350   | 1135.0   | 113.5   
0x277E   | 20043  | 20043   | 2004.3   | 200.43  
0x277F   | 0      | 0       | 0.0      | 0.0     
0x2780   | 1032   | 1032    | 103.2    | 10.32   
0x2781   | 0      | 0       | 0.0      | 0.0     
0x2782   | 1040   | 1040    | 104.0    | 10.4    
0x2785   | 514    | 514     | 51.4     | 5.14    
0x2786   | 768    | 768     | 76.8     | 7.68    
0x2787   | 0      | 0       | 0.0      | 0.0     
0x2788   | 5591   | 5591    | 559.1    | 55.91   
0x278B   | 0      | 0       | 0.0      | 0.0     
0x278C   | 0      | 0       | 0.0      | 0.0     
0x278D   | 19781  | 19781   | 1978.1   | 197.81  
0x278E   | 16685  | 16685   | 1668.5   | 166.85  
0x278F   | 21301  | 21301   | 2130.1   | 213.01  
0x2790   | 16945  | 16945   | 1694.5   | 169.45  
0x2791   | 12360  | 12360   | 1236.0   | 123.6   
0x2792   | 21248  | 21248   | 2124.8   | 212.48  
0x2793   | 4096   | 4096    | 409.6    | 40.96   
0x279C   | 0      | 0       | 0.0      | 0.0     
0x279D   | 87     | 87      | 8.7      | 0.87    
0x279E   | 0      | 0       | 0.0      | 0.0     
0x279F   | 0      | 0       | 0.0      | 0.0     
0x27A0   | 0      | 0       | 0.0      | 0.0     
0x27A1   | 0      | 0       | 0.0      | 0.0     
0x27A2   | 0      | 0       | 0.0      | 0.0     
0x27A3   | 0      | 0       | 0.0      | 0.0     
0x27A4   | 0      | 0       | 0.0      | 0.0     
0x27A5   | 5191   | 5191    | 519.1    | 51.91   
0x27A6   | 0      | 0       | 0.0      | 0.0     
0x27A7   | 8229   | 8229    | 822.9    | 82.29   
0x27A8   | 4393   | 4393    | 439.3    | 43.93   
0x27A9   | 6211   | 6211    | 621.1    | 62.11   
0x27AA   | 8710   | 8710    | 871.0    | 87.1    
0x27AB   | 0      | 0       | 0.0      | 0.0     
0x27AC   | 0      | 0       | 0.0      | 0.0     
0x27AD   | 1      | 1       | 0.1      | 0.01    
0x27AE   | 0      | 0       | 0.0      | 0.0     
0x27AF   | 0      | 0       | 0.0      | 0.0     
0x27B0   | 1      | 1       | 0.1      | 0.01    
0x27B1   | 0      | 0       | 0.0      | 0.0     
0x27B2   | 0      | 0       | 0.0      | 0.0     
0x27B3   | 0      | 0       | 0.0      | 0.0     
0x27B4   | 0      | 0       | 0.0      | 0.0     
0x27B5   | 0      | 0       | 0.0      | 0.0     
0x27B6   | 0      | 0       | 0.0      | 0.0     
0x27B7   | 0      | 0       | 0.0      | 0.0     
0x27B8   | 0      | 0       | 0.0      | 0.0     
0x27B9   | 0      | 0       | 0.0      | 0.0     
0x27BA   | 0      | 0       | 0.0      | 0.0     
0x27BB   | 0      | 0       | 0.0      | 0.0     
0x27BC   | 0      | 0       | 0.0      | 0.0     
0x27BD   | 0      | 0       | 0.0      | 0.0     
0x27BE   | 0      | 0       | 0.0      | 0.0     
0x27BF   | 0      | 0       | 0.0      | 0.0     
